fecha;mes;año;ventas
2017-01-05;1;2017;396.8999999999999
2017-01-06;1;2017;916.38
2017-01-07;1;2017;1351.9
2017-01-08;1;2017;709.58
2017-01-09;1;2017;673.79
2017-01-10;1;2017;1434.87
2017-01-11;1;2017;2776.1600000000003
2017-01-12;1;2017;2234.580000000001
2017-01-13;1;2017;2505.58
2017-01-14;1;2017;1112.69
2017-01-15;1;2017;2199.57
2017-01-16;1;2017;3307.920000000001
2017-01-17;1;2017;3302.5299999999997
2017-01-18;1;2017;4032.36
2017-01-19;1;2017;3553.95
2017-01-20;1;2017;4035.830000000001
2017-01-21;1;2017;2458.6000000000013
2017-01-22;1;2017;3619.2700000000004
2017-01-23;1;2017;6581.4699999999975
2017-01-24;1;2017;5955.169999999997
2017-01-25;1;2017;8977.229999999996
2017-01-26;1;2017;13157.65999999999
2017-01-27;1;2017;11432.949999999992
2017-01-28;1;2017;5211.009999999999
2017-01-29;1;2017;6457.659999999996
2017-01-30;1;2017;10801.129999999992
2017-01-31;1;2017;11116.12999999999
2017-02-01;2;2017;8219.749999999995
2017-02-02;2;2017;8917.639999999996
2017-02-03;2;2017;10183.73999999999
2017-02-04;2;2017;13968.159999999989
2017-02-05;2;2017;8503.789999999995
2017-02-06;2;2017;9539.43999999999
2017-02-07;2;2017;14143.47999999998
2017-02-08;2;2017;11958.26999999999
2017-02-09;2;2017;9190.289999999992
2017-02-10;2;2017;14222.63999999999
2017-02-11;2;2017;4307.560000000001
2017-02-12;2;2017;15126.149999999985
2017-02-13;2;2017;10785.14999999999
2017-02-14;2;2017;12694.109999999991
2017-02-15;2;2017;6770.149999999995
2017-02-16;2;2017;6348.039999999995
2017-02-17;2;2017;6801.259999999996
2017-02-18;2;2017;7297.329999999992
2017-02-19;2;2017;3797.9000000000005
2017-02-20;2;2017;7878.299999999992
2017-02-21;2;2017;8285.640000000001
2017-02-22;2;2017;8033.049999999994
2017-02-23;2;2017;6940.819999999992
2017-02-24;2;2017;6682.2099999999955
2017-02-25;2;2017;4196.59
2017-02-26;2;2017;5446.679999999998
2017-02-27;2;2017;5844.119999999997
2017-02-28;2;2017;11220.759999999991
2017-03-01;3;2017;12555.409999999985
2017-03-02;3;2017;11376.999999999993
2017-03-03;3;2017;12364.439999999993
2017-03-04;3;2017;12658.509999999991
2017-03-05;3;2017;6954.619999999994
2017-03-06;3;2017;10336.639999999987
2017-03-07;3;2017;11883.519999999988
2017-03-08;3;2017;14612.45999999999
2017-03-09;3;2017;11705.539999999985
2017-03-10;3;2017;12358.869999999986
2017-03-11;3;2017;10852.969999999988
2017-03-12;3;2017;6612.159999999995
2017-03-13;3;2017;16958.049999999977
2017-03-14;3;2017;14243.659999999985
2017-03-15;3;2017;14999.329999999984
2017-03-16;3;2017;14269.779999999982
2017-03-17;3;2017;11970.399999999992
2017-03-18;3;2017;16433.819999999992
2017-03-19;3;2017;6649.339999999998
2017-03-20;3;2017;17096.489999999983
2017-03-21;3;2017;11349.129999999986
2017-03-22;3;2017;14188.969999999981
2017-03-23;3;2017;16375.549999999976
2017-03-24;3;2017;10177.869999999984
2017-03-25;3;2017;9423.03999999999
2017-03-26;3;2017;6320.949999999994
2017-03-27;3;2017;16356.96999999999
2017-03-28;3;2017;12373.109999999988
2017-03-29;3;2017;8660.539999999988
2017-03-30;3;2017;10025.599999999991
2017-03-31;3;2017;12199.559999999994
2017-04-01;4;2017;17697.370000000003
2017-04-02;4;2017;9129.879999999996
2017-04-03;4;2017;9156.759999999991
2017-04-04;4;2017;12301.649999999987
2017-04-05;4;2017;18902.939999999995
2017-04-06;4;2017;23168.890000000014
2017-04-07;4;2017;13300.649999999994
2017-04-08;4;2017;8785.089999999993
2017-04-09;4;2017;8222.649999999994
2017-04-10;4;2017;11732.309999999992
2017-04-11;4;2017;8296.509999999993
2017-04-12;4;2017;8209.199999999993
2017-04-13;4;2017;9691.429999999993
2017-04-14;4;2017;8168.6599999999935
2017-04-15;4;2017;8333.939999999995
2017-04-16;4;2017;5455.959999999998
2017-04-17;4;2017;9416.669999999991
2017-04-18;4;2017;21286.720000000023
